nombre;id_barrio;total_disp;total_general;porcentaje_acum
San Pedro;737998832;2175;37654;5,78
Unidad Residencial Santiago de Cali;737998095;2032;37654;11,17
Urbanización San Juaquín;738000407;1963;37654;16,39
Chipichape;737998252;1888;37654;21,40
Unicentro Cali;738000377;1807;37654;26,20
Los Guaduales;737998826;1701;37654;30,72
El Sena;737999419;1660;37654;35,13
Santa Mónica Residencial;737998194;1533;37654;39,20
Urbanización Militar;737998124;1487;37654;43,15
San Fernando Nuevo;737999414;1265;37654;46,51
Lili;738000400;1146;37654;49,55
Santander;737998805;1007;37654;52,22
Urbanización La Flora;737998174;986;37654;54,84
El Cedro;737998087;934;37654;57,32
Chapinero;738000362;907;37654;59,73
