cliente_id;nombre;porcentaje
10000311;El Guabal;51.44
10009957;San Nicolás;63.97
10013550;San Pedro;100.0
10013727;Buenos Aires;99.8
10025262;Vipasa;100.0
10034499;Santa Mónica Residencial;100.0
10035720;El Sena;98.06
10039396;San Nicolás;100.0
10047022;Laureano Gómez;99.58
10047409;Urbanización San Juaquín;57.56
10048759;Ciudad Córdoba;100.0
10053741;El Calvario;97.57
10054710;Prados del Norte;100.0
10055925;Lili;100.0
10058099;San Vicente;98.38
10059280;Urbanización San Juaquín;52.26
10065136;La Ciudadela Confandi;51.62
10065984;Unicentro Cali;100.0
10070392;Chipichape;66.2
10075181;El Calvario;100.0
10078327;Santa Mónica Residencial;100.0
10079850;Juanambu;94.0
10083635;Alto de los Chorros;97.93
10095447;Unidad Residencial Santiago de Cali;100.0
10097955;Unicentro Cali;52.8
10103930;La Ciudadela Confandi;85.85
10114618;Sucre;80.24
10116578;Unicentro Cali;84.47
10116948;Urbanización San Juaquín;97.06
10131521;Versalles;66.67
10131775;San Vicente;100.0
10138208;Urbanización Militar;100.0
10140951;Ciudad Capri;100.0
10150982;Pampalinda;51.65
10151033;Lili;66.16
10155183;Urbanización Ciudad Jardín;100.0
10155407;Unidad Residencial Santiago de Cali;97.71
10159047;El Jardín;99.55
10164143;San Pedro;100.0
10164143;Unidad Residencial Santiago de Cali;100.0
10174757;Santander;100.0
10195090;Alameda;100.0
10212553;Siete de Agosto;93.97
10217086;La Flora;66.31
10224447;San Pedro;100.0
10225418;San Pedro;100.0
10230316;Canaverales Los Samanes;100.0
10233698;Santa Rosa;57.26
10236796;Urbanización Militar;100.0
10255990;La Merced;93.82
10261233;Santa Mónica Residencial;97.33
10264900;Urbanización San Juaquín;99.8
10276977;Unicentro Cali;99.26
10284418;Nueva Floresta del Ict;100.0
10287617;El Gran Limonar;81.31
10293722;Chipichape;100.0
10298401;Urbanización La Flora;75.34
10299126;Lili;81.88
10304225;Urbanización Militar;100.0
10304813;El Calvario;100.0
10318974;Unicentro Cali;100.0
10329439;Chipichape;100.0
10330918;San Pedro;78.06
10330918;Unidad Residencial Santiago de Cali;75.04
10331801;La Merced;64.86
10333299;Urbanización San Juaquín;89.14
10339936;Colseguros Andes;100.0
10340684;Chipichape;77.93
10340861;El Cedro;100.0
10346527;El Cedro;100.0
10351874;San Pedro;100.0
10352121;Unicentro Cali;100.0
10359644;Unicentro Cali;100.0
10368028;Colseguros Andes;98.57
10371964;El Calvario;60.83
10375242;Chipichape;100.0
10378283;Urbanización San Juaquín;51.32
10378454;San Vicente;100.0
10386952;El Refugio;61.24
10395215;San Pedro;100.0
10404812;Guayaquil;99.99
10405822;La Paz;100.0
10406644;Unicentro Cali;100.0
10411948;El Calvario;100.0
10420293;El Jardín;100.0
10424493;Los Guayacanes;54.23
10436221;La Independencia;86.59
10436373;Santander;100.0
10438333;Urbanización La Flora;100.0
10442432;Santa Anita;98.11
10449383;San Fernando Nuevo;99.97
10450568;Chipichape;100.0
10453718;El Cedro;83.72
10465044;San Vicente;100.0
10484471;José M. Córdoba;100.0
10490075;San Pedro;90.63
10490075;Unidad Residencial Santiago de Cali;90.63
10493997;San Vicente;100.0
10494900;El Cedro;81.82
10516604;Nueva Floresta del Ict;100.0
10516724;Chapinero;100.0
10531194;San Fernando Viejo;100.0
10531524;San Nicolás;56.64
10535590;Unicentro Cali;100.0
10542874;Santa Rita;100.0
10558589;San Vicente;58.45
10567122;Sucre;100.0
10574592;Los Alcázares;100.0
10581100;Santa Mónica Residencial;64.21
10581307;El Cedro;100.0
10581605;San Fernando Nuevo;100.0
10582798;Santander;100.0
10586441;La Merced;64.56
10593445;San Pedro;84.9
10593445;Unidad Residencial Santiago de Cali;84.9
10596584;Santa Teresita;100.0
10600230;Bretana;66.28
10605991;San Vicente;100.0
10609726;Urbanización Ciudad Jardín;100.0
10616506;Ciudad Córdoba;100.0
10618894;El Calvario;100.0
10629655;San Pedro;99.94
10638812;Urbanización Militar;100.0
10642871;Urbanización Río Lili;100.0
10656610;Unicentro Cali;99.45
10663142;El Sena;100.0
10670781;Juanambu;100.0
10675338;El Cedro;100.0
10678225;San Pedro;100.0
10683282;Unicentro Cali;100.0
10691378;Urbanización Tequendama;100.0
10694771;San Vicente;100.0
10695830;Arboledas;100.0
10697374;La Merced;100.0
10697734;Unicentro Cali;100.0
10702305;Paseo del Comercio;64.42
10717932;Sucre;100.0
10740147;Los Guaduales;59.42
10743801;Sucre;97.57
10744634;Urbanización La Flora;100.0
10745255;Los Cambulos;58.32
10748117;Versalles;100.0
10749953;San Nicolás;65.94
10751589;San Vicente;79.65
10751993;Unicentro Cali;78.34
10755929;Juanambu;100.0
10759218;Chipichape;99.96
10762672;Urbanización San Juaquín;60.36
10762892;Urbanización San Juaquín;71.94
10763933;Urbanización San Juaquín;100.0
10775735;Urbanización Militar;100.0
10777779;Los Guaduales;100.0
10779474;Julio Rincón;99.94
10779599;Ciudad 2000;54.43
10809181;El Gran Limonar;100.0
10811222;San Fernando Viejo;79.86
10818768;Los Alcázares;100.0
10820788;Unicentro Cali;58.47
10822654;Ciudadela Floralia;99.11
10825873;El Guabal;75.93
10826747;Urbanización San Juaquín;86.27
10831752;San Vicente;100.0
10839820;Junin;63.01
10840681;El Jardín;100.0
10851829;Urbanización Militar;73.47
10853488;Ciudad Capri;100.0
10854807;Unidad Residencial Santiago de Cali;100.0
10857581;El Gran Limonar;100.0
10858851;Colseguros Andes;69.11
10869126;Meléndez;98.85
10876261;Sucre;79.07
10878466;La Fortaleza;100.0
10880343;El Calvario;100.0
10885509;San Vicente;85.91
10890119;Villa Colombia;61.56
10891795;El Jardín;98.62
10898216;Unidad Residencial Santiago de Cali;69.17
10899901;Prados del Norte;66.22
10900534;Urbanización Tequendama;100.0
10900848;San Pedro;100.0
10900848;Urbanización La Flora;100.0
10901493;Unicentro Cali;100.0
10902614;Versalles;100.0
10903346;Julio Rincón;82.72
10904930;El Sena;62.74
10906324;Sucre;100.0
10936185;Ciudad 2000;53.58
10938666;San Fernando Nuevo;100.0
10960903;Ciudad Capri;82.7
10967424;El Cedro;100.0
10970259;Versalles;100.0
10983742;Lili;77.69
10984220;Versalles;58.29
10985377;Santa Rita;74.47
10992464;San Pedro;100.0
10992464;Unidad Residencial Santiago de Cali;100.0
10994904;Los Sauces;99.98
11005020;Unicentro Cali;100.0
11006938;San Pedro;100.0
11006938;Unidad Residencial Santiago de Cali;100.0
11011618;Los Cambulos;74.74
11018843;Lili;52.5
11020277;San Nicolás;99.48
11022849;Colseguros Andes;99.56
11025408;Parcelaciones Pance;100.0
11025894;Santa Rita;52.87
11030526;El Calvario;100.0
11033236;El Sena;84.27
11036045;San Nicolás;100.0
11037063;Mayapan-Las Vegas;99.88
11047605;San Vicente;100.0
11050533;Junin;100.0
11061175;El Calvario;100.0
11069158;Unicentro Cali;95.99
11070066;Nueva Floresta del Ict;100.0
11071340;San Vicente;100.0
11075798;San Fernando Nuevo;97.9
11089374;San Vicente;100.0
11099637;San Nicolás;100.0
11103554;El Cedro;100.0
11107144;San Vicente;74.72
11116004;Urbanización La Flora;90.91
11122415;Primero de Mayo;99.69
11124945;El Calvario;87.92
11128693;Ciudad Los Álamos;99.97
11134856;San Vicente;100.0
11137504;Lili;99.5
11142325;Las Acacias;93.42
11144170;Ciudad Capri;100.0
11144325;Junin;100.0
11151448;Urbanización San Juaquín;53.42
11160658;San Pedro;81.79
11161216;San Pedro;100.0
11161216;Unidad Residencial Santiago de Cali;100.0
11167552;La Base;100.0
11170777;San Pedro;77.41
11178096;Urbanización Tequendama;100.0
11179271;El Sena;100.0
11180015;Urbanización Ciudad Jardín;100.0
11180902;El Jardín;88.38
11184566;El Gran Limonar;73.63
11185173;San Vicente;51.34
11187569;Las Delicias;56.83
11191315;Municipal;86.0
11197353;Los Lagos;100.0
11202161;Lili;100.0
11206634;Centenario;100.0
11214098;Urbanización Militar;100.0
11217820;Ciudad Capri;71.39
11225423;Urbanización Río Lili;100.0
11227146;El Sena;95.21
11234779;San Pedro;98.4
11234881;Versalles;98.09
11241694;Chipichape;100.0
11246704;San Vicente;99.96
11249743;Desepaz Invicali;100.0
11250064;El Sena;61.27
11256670;Ciudad Capri;100.0
11263472;República de Israel;99.98
11270808;Santa Mónica Residencial;100.0
11278959;Santa Mónica Residencial;99.91
11281742;Prados del Norte;100.0
11284956;Sucre;100.0
11290835;Urbanización San Juaquín;100.0
11293877;San Fernando Viejo;100.0
11295327;San Fernando Nuevo;100.0
11295718;El Cedro;100.0
11309094;Urbanización Militar;61.93
11326581;Urbanización Ciudad Jardín;60.24
11330081;Urbanización La Flora;100.0
11330376;Santa Mónica Residencial;57.58
11332838;San Vicente;99.85
11337246;San Pedro;100.0
11337246;Unidad Residencial Santiago de Cali;100.0
11342444;San Vicente;100.0
11347534;El Guabal;99.73
11349075;José Manuel Marroquin I;93.24
11350128;Chipichape;66.02
11363612;Los Alcázares;100.0
11369505;Urbanización Tequendama;100.0
11369534;Guayaquil;53.85
11374508;Ciudad Córdoba;100.0
11375234;San Vicente;93.28
11376969;Ciudad Capri;57.11
11382169;El Peñón;60.54
11389399;Ville Grande;100.0
11390614;El Calvario;100.0
11396653;San Vicente;100.0
11396788;Sucre;100.0
11398324;San Pedro;100.0
11399637;Urbanización Ciudad Jardín;100.0
11410399;La Flora;98.62
11413346;Parcelaciones Pance;100.0
11416251;El Troncal;100.0
11418896;La Flora;100.0
11422625;Urbanización Ciudad Jardín;100.0
11434674;Lili;100.0
11435357;Urbanización Ciudad Jardín;100.0
11435447;José M. Córdoba;99.66
11436642;El Cedro;100.0
11445932;Granada;100.0
11466841;Junin;100.0
11469897;Ciudad Capri;82.23
11470588;San Nicolás;85.61
11477603;Granada;56.57
11478259;La Fortaleza;92.29
11483368;Prados del Norte;71.49
11499142;Los Cambulos;75.91
11506915;Unicentro Cali;96.48
11513809;Urbanización Ciudad Jardín;100.0
11530191;El Calvario;100.0
11534725;Santa Rita;100.0
11548088;Unicentro Cali;61.77
11548211;El Peñón;100.0
11549193;San Pedro;100.0
11549193;Unidad Residencial Santiago de Cali;100.0
11552950;Lleras Restrepo II;90.51
11556923;Urbanización Tequendama;100.0
11559831;Unicentro Cali;88.74
11563666;Santa Anita;100.0
11568146;Unicentro Cali;100.0
11569524;Unidad Residencial Santiago de Cali;88.06
11576333;Bretana;100.0
11587360;San Cayetano;63.43
11590436;Chipichape;100.0
11591707;Colseguros Andes;100.0
11592624;San Vicente;100.0
11593919;Siete de Agosto;70.1
11599787;Guayaquil;93.73
11601400;Calima;99.98
11609251;El Cedro;100.0
11624205;La Paz;85.94
11628251;La Flora;58.85
11633715;Versalles;97.49
11652840;Unidad Residencial Santiago de Cali;100.0
11661489;Calima;99.51
11664413;La Independencia;80.53
11677433;Santander;100.0
11685190;Urbanización La Flora;98.05
11697564;El Gran Limonar;99.99
11698285;El Sena;100.0
11701423;Flora Industrial;93.6
11711158;Los Alcázares;100.0
11717559;Santa Mónica Residencial;55.83
11717828;Meléndez;55.54
11723401;Urbanización Ciudad Jardín;100.0
11724912;El Gran Limonar;89.25
11728449;El Gran Limonar;53.65
11730121;La Merced;95.42
11734542;Unicentro Cali;60.5
11745128;La Independencia;59.14
11746117;Chipichape;52.29
11752132;San Pedro;100.0
11752132;Urbanización La Flora;100.0
11758279;La Merced;100.0
11760096;Ville Grande;100.0
11763132;Urbanización Ciudad Jardín;100.0
11768133;Granada;100.0
11776125;San Vicente;100.0
11783416;Unidad Residencial Santiago de Cali;100.0
11784332;San Fernando Nuevo;100.0
11794868;San Pedro;100.0
11794868;Unidad Residencial Santiago de Cali;100.0
11801423;Sucre;100.0
11808821;La Paz;99.6
11814455;San Vicente;100.0
11822356;Ciudad Córdoba;86.98
11831953;El Peñón;100.0
11833635;Chipichape;72.89
11844376;Santa Rosa;52.26
11845647;Unicentro Cali;100.0
11849741;Chapinero;69.49
11852326;San Vicente;100.0
11859342;Siete de Agosto;75.52
11862206;Chapinero;100.0
11862809;Los Lagos;99.92
11872420;Sucre;98.23
11872879;San Pedro;100.0
11872879;Unidad Residencial Santiago de Cali;100.0
11873792;San Vicente;100.0
11879582;San Antonio;91.72
11882976;Los Alcázares;100.0
11886724;Urbanización San Juaquín;54.54
11890143;San Fernando Nuevo;92.03
11896643;Prados del Norte;57.12
11898606;El Ingenio;100.0
11902169;Los Alcázares;100.0
11917560;San Vicente;100.0
11921603;San Vicente;100.0
11925210;San Pedro;100.0
11925210;Urbanización La Flora;100.0
11936311;Los Guayacanes;79.25
11940873;Unidad Residencial Santiago de Cali;98.96
11942888;El Calvario;100.0
11953185;Parcelaciones Pance;100.0
11970058;Saavedra Galindo;51.79
11977517;Nueva Floresta del Ict;100.0
11978686;Juanambu;100.0
11978885;Chapinero;97.07
11981199;San Vicente;100.0
11986314;San Vicente;100.0
11995855;Versalles;100.0
11997392;El Sena;100.0
11998729;Urbanización Militar;100.0
12000148;La Merced;87.73
12005144;Urbanización San Juaquín;100.0
12016291;Canaverales Los Samanes;100.0
12016787;La Merced;100.0
12023030;Olaya Herrera;99.27
12025841;Barrio Eucarístico;100.0
12029143;Unicentro Cali;100.0
12033887;Barrio Obrero;85.41
12038908;Ciudad Campestre;100.0
12039636;Manuela Beltrán;100.0
12039835;San Pedro;100.0
12051405;San Vicente;100.0
12060573;Unicentro Cali;85.12
12062772;Área Libre-Parque del Amor;85.14
12064488;Ciudadela Floralia;99.98
12066036;La Alianza;99.37
12076027;Junin;100.0
12077871;San Cristobal;100.0
12078066;San Vicente;95.61
12091861;El Cedro;100.0
12097933;Planta de Tratamiento;56.88
12108414;Santander;100.0
12113401;Aranjuez;100.0
12119721;San Vicente;100.0
12124681;San Pedro;100.0
12126843;San Pedro;100.0
12133140;El Gran Limonar;72.82
12138124;Urbanización San Juaquín;100.0
12139508;Santander;100.0
12140966;Unicentro Cali;100.0
12142546;Santa Teresita;100.0
12142968;San Vicente;100.0
12150048;San Pedro;100.0
12153837;Unicentro Cali;100.0
12160273;El Cedro;93.36
12160588;El Gran Limonar;80.08
12160763;Unidad Residencial Santiago de Cali;100.0
12162943;Colseguros Andes;84.67
12164454;El Sena;100.0
12165399;Junin;100.0
12168535;Lili;72.53
12179687;Unicentro Cali;99.21
12186579;Santa Mónica Residencial;100.0
12187463;San Vicente;100.0
12188980;Los Guaduales;100.0
12192287;San Fernando Nuevo;58.07
12202753;Granada;99.96
12206053;San Vicente;99.96
12209280;Santa Mónica Residencial;100.0
12214296;San Pedro;89.7
12218349;Ciudad Capri;100.0
12218525;Santa Rita;100.0
12224225;Ciudadela Paso Ancho;55.2
12229168;Ciudad Capri;100.0
12229634;Urbanización Tequendama;100.0
12231246;San Pedro;100.0
12231246;Unidad Residencial Santiago de Cali;100.0
12235000;Calima;98.47
12237160;Urbanización San Juaquín;100.0
12238968;San Pedro;99.65
12244541;Urbanización San Juaquín;100.0
12244582;Prados del Norte;100.0
12244845;El Cedro;100.0
12248712;Santa Rosa;52.95
12252253;El Cedro;100.0
12257840;Parcelaciones Pance;100.0
12264322;Unicentro Cali;98.48
12270146;Camino Real-Joaquín Borrero;100.0
12277965;Versalles;99.99
12295497;Paseo del Comercio;99.9
12303972;San Nicolás;53.72
12308217;San Vicente;59.42
12310081;Urbanización Ciudad Jardín;78.04
12311512;Chipichape;98.43
12312748;Santander;71.8
