cod_dispositivo;clientes_unicos
60;346
61;190
62;142
64;179
77;182
205;164
265;303
342;128
514;316
600;196
605;341
620;114
640;282
710;271
716;220
722;138
735;118
736;206
739;103
741;340
742;261
744;132
745;660
746;318
747;457
749;243
750;242
752;360
757;219
803;166
807;167
808;411
810;159
812;457
813;159
815;122
821;168
823;201
825;273
829;482
836;166
837;172
900;130
901;137
1089;214
1115;350
1116;365
1117;307
1119;303
1146;427
1147;386
1155;356
1156;388
1157;359
1187;102
1265;171
1266;193
1458;178
1459;221
1660;217
1669;238
1700;166
1701;200
1702;134
1703;135
1724;157
1837;179
1970;228
1974;221
1975;332
1976;343
2017;199
2018;179
2019;168
2037;102
2093;168
2134;104
2138;132
2182;101
2199;183
2337;235
2376;333
2475;207
2479;185
2522;206
2532;247
2536;183
2630;119
2683;141
2716;245
2750;345
2751;382
2752;367
2753;221
2756;177
2775;173
2843;197
2861;163
2862;147
2898;232
2899;242
2930;347
2992;221
3003;208
3005;228
3044;118
3245;125
3254;208
3256;213
3588;100
3662;117
3663;217
3810;298
3937;104
3941;134
4000;163
4031;172
4064;103
4089;134
4090;171
4091;181
4093;138
4094;112
4317;178
4320;261
4464;206
4594;100
4612;271
4648;121
4649;137
4658;245
4776;246
4783;430
4784;400
4835;115
4853;141
4895;115
4909;119
5006;111
5023;194
5024;234
5083;215
5086;283
5137;209
5144;290
5157;158
5158;168
5172;149
5203;202
5204;148
5210;122
5215;250
5218;125
5226;172
5358;175
5375;122
5392;194
5394;402
5401;102
5407;165
5432;156
5462;224
5497;219
5519;230
5537;287
5538;302
5600;154
5631;185
5632;165
5633;146
5634;113
5719;189
5762;284
5773;219
5787;291
5788;256
5824;176
5825;174
5826;186
5827;181
5859;344
5860;226
5877;150
5937;127
6280;193
6285;115
6298;148
6311;136
6312;134
6382;147
6384;203
6447;107
6519;178
6605;109
8031;181
8040;225
8061;196
8062;216
8064;172
8071;250
8082;255
8122;258
8251;200
8332;341
8352;349
8362;119
10005593;125
10305233;207
10313583;308
10315497;198
10316214;125
10321651;132
10327682;359
10336139;224
10602407;360
10853612;228
10932812;353
11096278;391
11279189;127
11303609;525
11322609;128
11463007;182
11732088;141
11857968;397
12370524;106
13318241;130
13333372;277
13472063;323
13575071;291
14015341;104
14292130;177
14388938;142
14540827;368
14647986;195
14740583;114
15287022;108
1076120915;228
1076120916;156
1076120918;113
1076121198;206
1104414825;162
1104416653;237
1104418889;304
1104421063;243
1104421064;143
1104423593;223
1104423594;118
1104423595;134
1104427089;106
1121218306;188
1121218307;217
1121218308;152
1203621492;115
